"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Moderator can generate an invite link for their group","tests","2026-06-22","broken","2026-06-22","","test_group_invite","",""
"","0","User can create an item and see it in inventory","tests","2026-06-22","broken","2026-06-22","","test_item_detail","",""
"","0","User can delete an available item","tests","2026-06-22","broken","2026-06-22","","test_delete_item","",""
"","0","User can add a new item to their inventory","tests","2026-06-22","broken","2026-06-22","","test_add_item","",""
"","0","User can update their bio on the profile page","tests","2026-06-22","broken","2026-06-22","","test_profile","",""
"","0","Groups list page loads and displays correctly","tests","2026-06-22","broken","2026-06-22","","test_groups_list","",""
"","0","Moderator can edit group name and description","tests","2026-06-22","broken","2026-06-22","","test_edit_group","",""
"","0","Profile page loads and displays personal information","tests","2026-06-22","broken","2026-06-22","","test_profile","",""
"","0","Moderator can delete a group they created","tests","2026-06-22","broken","2026-06-22","","test_delete_group","",""
"","3","User can log in with email and password","tests","2026-06-22","broken","2026-06-22","","test_login","",""
"","0","Full borrow and return flow — from request to confirmed return","tests","2026-06-22","skipped","2026-06-22","","test_borrow_return_flow","",""
"","5","User can log out successfully","tests","2026-06-22","broken","2026-06-22","","test_logout","",""
"","0","User can create a new group and become its moderator","tests","2026-06-22","broken","2026-06-22","","test_create_group","",""
"","0","User can create a group and see it in the groups list","tests","2026-06-22","broken","2026-06-22","","test_group_detail","",""
"","0","User can edit item name and description","tests","2026-06-22","broken","2026-06-22","","test_edit_item","",""
"","0","Items list page loads and search is available","tests","2026-06-22","broken","2026-06-22","","test_items_list","",""
